,Username,Comment
33,desolator108,"holy shit, Nat from communitychannel. what a nice surprise"
34,Elena Seo,"when i saw arden, i choked omg i love you arden"
35,Michelle Capistrano,Very nice content
36,Nero1840D,Aww no ryanhiga?
37,BoblaxXIII,NATALIE IS BACK!!! I'VE MISSED YOOOOUUUUUU!!!
38,Cindy L,Happened to me. Easy solutionjust change you password and sign off all of the devices lol
39,Abdou Djam,"Wow!! damn it , WOng fu just keeps impressing me ! really well done guys ,, you may be quarantined but your creativity isn't ,, not as long as YouTube lives !"
40,Ron Josh Ytem,Manny Decinto!!!!!!
41,superbad0415,Thank you for making this great funny video.   This put smile and laughter to all the people!!!!   That is priceless!!!!
42,blueshield2009,Nice.
43,Mo,NATTT <3UGH miss her videos
44,Jeremy Gee,OMG!!  Nat is alive!!
45,Mimi Nguyen,oh my god I appreciate you connecting all these people in this video. I'm so glad to see that Nat is okay!
46,Edward Hernandez,This whole thing could have been avoided if he would have just changed the password and got rid of active sessions
47,Allen Fung,TaipeiB00tySixteeNEIN
48,Bryan Chen,Just change the password :P
49,Mark Tree,"I gotta say, wangfu hasnt been this good and hilarious since the break up videos. Maybe its just me. I miss the old days. Keep up the good work!"
50,Ruel Saunders,"Dis shell shell shell (In Jamaican)
Translation: This is really good"
51,TTate,Bart casually running around the house in his underwear with Taika is totally how I imagine 90% of Geo's videocalls.
52,Waylon Lee,Poor Jen just wanted guy advice... 
53,perfectlove33,SIMU!!! 
54,Jamie Chen,Phil just change the password 
55,freakishly21,We miss nat!!
56,katrina preyra,NATALIEEEEEE
57,sisale0,Part 2 please!!!!
58,Kenzi Wang,Highkey thought ted was gonna be in it.....
59,mimprincesa,"Ok lets be honest this is just Phil flexing his contacts list. 
Also NAT!!!!!!!!"
60,Sol Segovia,NAAAAAAAAAAAAAAAAAAAAAAAAAAAAT
61,Coral Taluban,"This is amazingly creative, and I loved all the cameos! (so happy to see Manny Jacinto & Natalie Tran!) But also hilariously relatable, at the idea that even famous people wanna borrow someone else's Netflix login "
62,RookieTraveller,I love the collaboration!!!! Awesome!
63,Stephanie Doan,This was hilarious and so well done during this time. Thanks for putting out this content during a time like this! Now you can watch Kims convenience 
64,Douglas Tohom,"Simple solution, just change the PW"
65,Elian Huynh,Oh I get it The spreading of Phil's Netflix account is an analogy to the spreading of the coronavirus. That's pretty clever Wong fu productions. Whose idea was it ?
66,Elian Huynh,"2:20 ""Just Another Nice Guy"" Moment"
67,dheonix,this is craZzzzzzzyyy
68,dangashh,Aww was not expecting Weylie!
69,RAlphaEl,Jajajaja
70,Max Caulfield,I gasped out loud--I love Natalie!!!!!! <3
71,The Billiard Corner,Nat has a really good evil laugh
72,Audrey M,JASON MENDOZA
73,omgphud,"I always wish for a Ted or KevJumba cameo in all these collab videos. Hope they're doing well. 

Great video as always"
74,Ariana Dourre,I swear my heart skipped a beat when I saw the super high profile person from Australia! !
75,wonderspace90,Nat.. did I just see Nat? O my gosh Nat!!!!!! Funny as always. Thank you for the video!!! Cheers be safe.
76,Terrance Wade,This video actually made me feel better! Thanks Wong Fu as always!
77,Myanimefreak,LMFAO AT THE END WHEN HE USES WES'S HULU ACCOUNT
78,amerikong1,JUSTINS PARASITE SHIRT DOE 
79,Mystic Crystal,a similar thing happened to me. I didn't have Netflix account so I asked my friend. Then our other friends started to ask her for her account. it got wild.
80,hota mango,"NAT OMG I LOVE HER VIDEOS, SO HAOOY SHE MADE A CAMEO IN YOUR VIDEO!!!"
81,Justin Sison,When Bart was playing with Taika on the background when he was calling Geo  That crack me up 
82,Jasmine Feng,OMG I SCREAMED when I saw Natalie!
83,katakara,i loved this 
84,Livvy,NATALIE!!!!!!!!!!!!!!!
85,Cate Wright,"DAMN, the star power in this video is crazy!!! I was fangirling from one cameo to the next- way to go Wong Fu!!"
86,David Bro,Web of relationships 
87,David Bro,Wow Helen is gorgeous 
88,Alex Nguyen,11:11
89,Samantha Chan,just change the password ;)
90,rinirino,Awww... It's Nat!! I miss her. Good video by the way. Love the scene with Geo and her two babies in the background. Lol!
91,*/,Omfg!!! Natalie Tran!!!
92,HipsterPoro,Phil is sleeping on Kims Convience
93,R R,OH MY GOD NATALIE!!!!
94,Gregorio C,6:27 . barts funny af 
95,Jadira Waysome,
96,lowkeyjk,"LOL wow it was nice seeing Simu on here haha
update: all these cameos ahhhhh NAT THATS YOU????"
97,Ivan Joven,*THIS IS UNBOHLIEVABLE*
98,Jemako V,This was amazing. I miss you so much Nat!
99,NoamKoKo,"0:17 Too soon, man :(
(also, what kind of a psychopath would laugh at that episode?)"
100,Juil,Natalie  Tran 
101,Agent К_видео,Haha that got out of hand.
102,Youneak,Bart and taika funny af 
103,ForALittleInfinite,this was so funny the most clever skit during these crazy times
104,Kelsey Cueva,OH MY GOD NATALIE!!!
105,f farq,Just wow. This is all story and surprising cameos.
106,A. Lee,I'm so proud of this video
107,Poké-Rider,Quarantine be rough on Netflix. Netflix-
108,Tom Peng,
109,Claudia Yeung,I miss Wongfu. Wheres Ted?
110,mazie,"i did not know who to expect next. simu, arden, manny..... it just kept going"
111,Just Me,Aaaaaaaaa yesssssss!!!! Natalieeee 
112,Levitate Style,So well done - had that Searching movie vibe the whole time! LOVE THE ENDING
113,N. Yohan Kim,Just change the password bro
114,Peter Pan,"But Phil, you can just change your password..."
115,AeroGold1,Yay Nat/Community Channel finally is in something again. It's been 3 years she's posted anything on her channel. She's a greater villian in this video than Thanos ever was.
116,AeroGold1,"1. Account Settings -> Change Password. 2.  Sign out of all devices. PROBLEM SOLVED, no video required."
117,The Pelaez Family,https://youtu.be/PC5IecVLMYw
118,Taurian Ferguson,"I'm looking at Arden trying to figure out why she looks so familiar, then it hits me, I'm watching teen wolf at nights with a friend using my sister's netflix account. The irony. Tru story."
119,Makpal Shomenova,Arden in WF video after splitting up with Ryan...
120,Mia E,I love all of these people!
121,Martin Acosta,"no idea who the people were, except for the dude from the good place, and the one who said about eating cat food, but still hilarious, kudos"
122,Oscar Quintanilla,The Taylor lines had me rolling 
123,THE BATMAN,OMG NATALIE!!!! The best villain reveal in the history of YouTube. At least you didn't get thumbed hard. Awesome video 
124,Kimag,I used to share my netflix with my sister but she log on in too many devices and for her boyfriend.  I change my password and kick everyone out.   I don't mind sharing it but come on.. it is my account!!  I should be able to watch it when I want
125,Limxuv Her,Nat would be the villain
126,Фронти MIX [],login
127,Ned Talamoa,This video is awesome. I really enjoyed the mystery & building suspense. Keep up the great work guys & thanks again for another awesome Wong Fu episode!
128,Sarah Chow,OMG WEYLIE ahhhh i love her
129,Derpy Linda,Legit people spread my account and I was so mad cause I couldnt watch so I just logged everyone out and changed passwords LOL.
130,Toby Kate,"I wasn't expecting Manni, from The Good Place there, hahha"
131,Grace H.,I miss Nat. Thanks Wong Fu.
132,Anushrut Singh,Next video: how to change netflix password XD
133,Thùy Dung,why did he have to call one by one haha just change password :)
134,Lt.Shinta,Now we know what  Natalie has been doing all this time......
135,Urwah,Just change the password......................
136,Crispayne,legit thought u were gonna call Obama
137,Sharbani M,The email 
138,Black Hayate,Why doesn't he just change the password
139,G S,Natalllieeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
140,Sheryl S,Omg. Just log in and disconnect every device and change the password
141,Ludwig,well that escalated quickly
142,Poor Man's Outdoors.,Lmao!!! keeps me from boredom. Thanks guys!!!
143,JoshuaNY93BX,Bart running around in undies or diapers too funny
144,dmusa24,NATALIE 
145,Priscila Amador,This was actually genius.
146,Dennis Tan,I see Wong Fu I hit like!!
147,JoshuaNY93BX,Truth omg so manny channels and ppl i havent seen ir seen there channels in so long because youtube unsubscribed. Nate was so dunny omg but what hurts the most is when you change your password ppl that you havent talked to in forever start texting you hi and then ask for new password lol
148,Maisee Vue,This is a really good skit. Really enjoyed it! 
149,Jimivel,"While watching this with girlfriend she turns to me and asks, how many people use your account? And Im like, um, Im using yours."
150,Dampachi100,"With all the cameos, I was almost expecting Ted, Kevjumba, Ryan Higa, or even Wang Leehom to make an appearance!"
151,TB 951,honestly so funny and clever
152,Vivian Than,I lost the plot when Natalie showed up omfg 
153,Mason Clarke,natttt whatt
154,J P,Wow... what a genius storyline. Such total relevance in today's context. You guys are seriously next level!
155,KickStandUp,greatest video on the internet HAHAHHA
156,Ewan Lim,NAT!!!!! OMFG.
157,Gia Tuệ Tôn Nữ,Change. Your. Passowrd?
158,A Xu,Bart in the background LOL. I can't.
159,Pokeandhan,There are so many cameos lol
160,221h0lmes,OMG!!!!! I love this guys!!!!! 
161,Lester,"You should just change password, is easier"
162,Romaldo Madrid,This was amazing
163,Jemima H,Natalie 
164,Mish Moosh,this is briliant
165,Ekalavya,holy shit communitychannel
166,BenjaminLee2009,"Simple solution: Logoff all devices on Netflix, log back in, change the damn password and never share it with anyone else."
167,Bobby Kin,This is great
168,ABCantonese,"Who here expected blogilates instead of Weylie? Anna.... Oh yeah, Miss Akana 
Australia? Cuz I didn't realize Chonny was holding out in Japan... HOLY SHIT IT'S COMMUNITY CHANNEL.

Awww man. Where's Kev? You can't have a Higa and not have a Jumba."
169,xoladiihoneyxo,Omg... Nat!!! I was just thinking who is a high profile woman in Australia besides Nat. Hahaha!!!
170,Nathan Lee,Isnt this the same thing that tablo was talking about in his podcast?
171,Rodrigo Bragança,post videos nat!
172,Rodrigo Bragança,oh my god communitychannel!
173,Mason Camilon,so you have time for umbrella academy lol
174,shockthe0ry,Omg NAAATT!!!!
175,Kit Hoong Tan,OMG! Natalie!!
176,Yunakura,you can just change your password
177,lianger114,1:50 Phil on the iPhone.  The light should be off if you are holding the phone to your head.
178,imweirdniknowit,I think Im more worried that I was fully okay thinking that Bart put on that diaper just because its Bart rather than because they were doing a skit
179,origamiaddict628,i actually screamed when nat appeared oh my goddd
180,CCV334,Creative solution to creating content during these times.
181,Booniedog G,Nat looks EXACTLY the same from like over 10 years ago 
182,susiannia,I think this is a relevant message to show a parallel of how the spread of virus can happen in this interconnected world now
183,Booniedog G,Phil with the quarantine hair 
184,arias1001,This is a really good one
185,christyk97,Helens ringtone  ABG
186,James Ng,This was a lowkey flex Lol
187,Ryan Cacatian,Great clip but I'm sad Ted Fu didn't make the cut
188,keomakk,Yay Nat was there!
189,bananapeters,OHHHHHH MYYYYYY GOOOOODNESSSSSSSSSS!!!!!!!!!!!! NAAAAAT!!!!!!!!!!!!!!! SO UNEXPECTED!!!!!!!!!!!!!!!!!!!! PSYCHED!!!
190,Babu,9:43 but Rick & Morty is on Netflix.
191,Marcus Lambright,"It's come full circle...I used to watch CommunityChannel WAY back in the day (since 2008 or 9). Nat did a video with Wong Fu and I've been hooked since Yellow Fever. Fast forward, Nat stopped making videos (I understand, life happens) but now you brought her back in this and I'm so happy :) Excellent video WF!"
192,Alex Ursua,"Bart and Taika in the background, out of nowhere! lol"
193,danny phame,"instead if a 11 minute video, you can make it a 30 second video by changing your password LMAO. But Bart would be the one to pull something like that hahaha"
194,Dirtyfinger,super awesome
195,BeeKindRewind,What a wonderful video. Thanks guys! ;D
196,Sage Rose,I almost cried when I saw Nat!...btw anyone know why she livestreamed on YT then removed it the next day? I had it in watch later but unfortunately couldn't watch it in time :(
197,rainniwkw,Nat 
198,Junior Mint,OMG it NAT!!!!!
199,keralytekid,NATALIE!
200,Cindy K,This is perfect!!
201,Alysicious Alissa,How much I love to see Nat 
202,Mrs. Kim,It's Taylor's fault lol
203,BWQK1,dude just change your password
204,H헐llyF오rever,"Me: Sees Nat
My Tears: How did we get here?
Me: shut up, face! "
205,PDEthan,This is brilliant
206,Daniel Luu,COMMUNITY CHANNEL LET'S GO
207,Mat Starfighter,"Now, that's a twist!"
208,windtalker7272,
209,TL,omg nat!
210,Pam LB,Lol Im going through this same situation with my family. Finally changed the password 
211,Sakar Bataju,
212,CrimzonWolf777,"Taipeibooty69

I'm freaking dead"
213,Kenny Yuen,"Damn, how did you guys coordinate this? It's sick! Haha so fun to watch.

I haven't laugh so hard in a long time: ""Taipei booty 69"" lmao"
214,E Ramírez,"Omg, Nat!!!!!"
215,xarielherr,I loveeee this Lolololol 
216,Xi Zane,For everyone dealing with this during our time of isolation: LOG EVERY ONE OUT! AND MAY THE ODDS BE IN THEIR FAVOR GETTING BACK IN!!!!
217,Garry Ho,A very creative analogy to the coronavirus! well done guys :)
218,Gordon Chen,Omg. Natalie!
219,Darick Le,Anna (Annie) are you okay - Michael Jackson
220,Henry Zhang,"How to reconnect with old friends, that's a good one."
221,thinkwhatsyourlife,when she said super high profle person from australisa i was like NAAAAAAAT ++++++++
222,KIRUPAKARAN,Love the part Nat showed I love your vids
223,Dan David Tan,Just overheard my brother watching  JK news and i just heard Bart mentioning he bought those adult diapers to have matching photos with his kid.
224,Jill C.,Do you guys really not have Rick and Morty on Netflix?
225,Dr-Pepper,Most people do this lol
226,Xin Yi,just change ur password? n never spread againn
227,Winnie Tran,NAT!!!! What a surprise! Haha so happy to see her!
228,Antonio Cruz,THIS IS PURE GENIUS AND WHAT A COLLAB
229,Malcolm Ng,track and trace... is this a metaphor for coronavirus?> klol
230,Alex,NAT!!!!!!
231,Benny,I MISS NATALIE TRANNNNNNNNNN WAHHHHH
232,Celeste Tong,I love this episode of WF! 
233,555kaiz,"Oh My God!!!!, it's Nat!!!!!"
234,Rafiqul Javed,"Omfdayzzzz Natalie Tran, you guys and Ryan Higa are the original G.O.A.T.s of YouTube"
235,AnonNonnyMouse,Oh my God! I love Naaaaat.
236,Sonia seow,NAT 
237,Jia Xing,omg community channel?! pls the world needs kevjumba now!!
238,Jane Felix,OH MY GOODNESS. NATALIE TRAN. NAT
239,Fresh Richi,The cameos brought so much life to this!!! Great work Wong Fu!!!! 
240,chuwygonzalez,NAAAAT!!!!
241,Xiro Mytro,"This made my day! :D I sort of wished Ki Hong Lee and Harry Shum Jr are also there. Nevertheless, it's a comic relief during these trying times."
242,LovelyJJ,"Being the primary account owner... I've had my fair share of ""oh no! everyone got disconnected! must be a netflix thing..."" :^) unlucky"
243,Blutack3,omg rofl so funny!
244,Ogiedokie,Wow asian avengers
245,Andre,Nooo way! Natalie Tran. We missed you
246,Dom Lai,This was amazing hahaha...Bart in a diaper...
247,Lazy AWESOME Dad,Nathalie Tran .... please come back 
248,Ang P.M.,"Bart and Taika!!!!!!!!!!

I actually have no idea how many ppl have my account information. For sure my family but I do remember giving it to friends and maybe a coworker or two. Oh well"
249,LongXiong22,Hahahah!!!!! Died when Bart came running! Lol!
250,Daniel Lee,COMMUNITYCHANNELLLLLLLL
251,Helen W,Came from Instagram and wow this is brilliant. Pure excellence 
252,flutterbyby," Annas response was on brand, and when heard high profile woman in Australia Im like..Natalie?? Yay "
253,Sofie,Seeing Nat in this saved my life
254,Lauren Pagsolingan,I loved all the cameos 
255,JAsparklefret7,Itaewon!!! Of course!!!  Oh gosh!! And Bart in Geo's background!!! 
256,Ben Tam,I really want to recommend this Taiwan drama to u guys: Someday or One Day...but I don't know where there is an English version...
257,Peter Arthur Henk,"Lol, just change the password....its gonna be 30 second video...lol"
258,Emily Jian,OMG the fact that I've watched all these youtubers is the best part haha
259,Kaysey Aguilar,This was great!!! I was NOT expecting to see Natalie Tran.
260,NOOB,Mr Bart Kwan 10:30 
261,AshleeLoveit,"Yeesssss all those cool actors , actresses and YouTubers! Weylie and Geo!!! #worldwide"
262,Jay Brown,Change the password lol
263,Ant_TonyLOL KID,"I was legit gonna say ""why didnt they just change the password"" just before Phil said it lol"
264,Kevin Wong,Just reset the password dude.
265,Lone Note,Simu!!!!!!!! & Manny OMG!!!!!!!!!!
266,tembong15,Nat's alive!!!
267,Yuena,I can see this whole video happened just because Phil couldn't log into his account and a lightbulb went off in his head.
268,JPM,Omg its Nathalie! I'm crying.
269,dy/dx,I don't understand why Phil just didn't change his account name and password instead of calling all those people to log off his account in the first place lol
270,Jamie Wong,the face Helen makes after Philip made the phone kisses noise
271,stupidbob1,Rick and Morty is on Netflix though?
272,truongerrrs,oh my gosh! it's nat  i miss her sm 
273,brisaespi99,NAAAAAAAT I MISS HER SO MUCH
274,Peterisfull,Bart with the diapers and taika!!!what a treat !!!!!my life is complete
275,Cici Nguyen,Omggg community channel and Bart in a Diaper! Great video idea while keeping self isolation
276,magbs,Phil has a cringey thumb
277,Ami Nguyen,I love this!!!! Netflix login haha
278,Aikira Li,OMG that was bloody AMAZING! I screamed so loud when Natalie Tran came on. 
279,Official Crystal Sings,This was great 
280,Cathy Tran,Anyone else have 6:27 on repeat LOLOL omg so cute and funny LOL. And I LOVED THIS. So many different faces and it's like aoejfoiawjeigjag YES.
281,MiniBeautyBites,Omg these crossovers hit hard
282,Sandra Tran,Omg I was shook and loved it when Natalie Tran appeared!
283,pennypixie,"That was great, lol."
284,Lucky Moua,9:39 uh hello Kingdom. 
285,hiraest,I SHIP JUSTIN AND JEN SO HARD
286,toby r,no one gonna talk about bart in a diaper ? the most underrated part of the whole video
287,ThePharm4Life,WEYLIE on WONG-FU!!!!!
288,Corinne Mooney,When I saw Nat I literally screamed  I loved the video! 
289,Tabitha Perrett,OMG Geo's cameo with Bart in the background 
290,♥cyndercake415♥,"*This video is not sponsored by Netflix*
....OR IS IT?! 


Loved the video!!"
291,ChrisTheBrownGuy,Carole Baskin got your login too!
292,kjermsx3,Can't believe you guys managed to get NAT to make a video with you! Awesome collab!
293,Jamie Chang,Lmao!!!! I love this script. Thank you!!
294,Caren Ly,"Hahaha Geo, Bart, and Taika "
295,Joyce Lim,Um legit squealed when I saw Natalie Tran 
296,jessicaaaturbox3,i would just change the password
297,Maung Than Htay,dope shit made by dope people
298,Jess Cuz,Holy shit Nat is alive!
299,jelyan,Theyre roommates for real?
300,Rhysa Luke,This is my life! But I just change the password and kick everyone off. :)
301,MrDarnitt,just change the password
302,tisdanica,ICONIC
303,Yan Jia,you and Tyler need a hair cut .
304,Freddy Chan,"LOL this is great,  Happening to me right now !!"
305,vega1221,Omfg Nat. I miss her at Community Channel... So great 
306,Souhib Bas,"ACTUALLY  YOU CAN KICK ALL USERS OUT, AND THAN CHANGE THE PASSWORD THO"
307,Khandar William,is this a pandemic?
308,Sammy Gilligan,So well done!!!!
309,mido riya,wong flu
310,Christine Robles,Wong Fu is so consistent. Makes me wanna cry
311,thatguyx,Name dropping in 2020
312,Fong 19,This need more than 125k views and like
313,Redremnant,It was very irritating to watch knowing you can just change the password.
314,Babetravelling,still trying not to open Netflix account from my ex lol
315,Michelle Chen,ALL THE CAMEOS!!!
316,ClubMuR,Lol geo and bart with taika!! XD too funny
317,ohverdose,i audibly gasped when i saw weylie!!!! i love her 
318,SUPGism,NAT????!!! HOW ARE YOU?????
319,SUPGism,Simuuuuu
320,Blue Vonei,... That is on Hulu 
321,jinlu4,Bet Justin was hoping for Jen to call instead of Phil  Love that they're still continuing that bit 
322,Banana,the best thing to come out of this quarantine is 100% this video lmao
323,Mee,Omgggg Nat!!!! I miss you so much! I screeeaaamed!
324,G P,"BRO when Nat turned around I was like ""I WAS FUCKING RIGHT"" Fuck, I'm old lmfao"
325,Miguel Alvarez,BART 
326,roxylikeapumaaa,i hope the 47 ppl that disliked this video are okay
327,Jaime D,OMG IS NAT!
328,Claire Yang,"Very funny! Great sketch!,"
329,Brandon Moua,I love this
330,Elgene Crescini,Why doesnt he just change the password and log everyone out?
331,Lily Lau,Poor Jen
332,Grace Lee,NATALIE WAS THE BIGGEST PLOT TWIST I HAVENT SEEN HER IN SO LONG BRB GONNA BINGE HER VIDEOS
333,lifeon3410,NATALIE!! So happy to see you that i am crying
334,Janice Chan,JUST CHANGE THE PASSWORD LOL
335,Tiffany vang,Omgggggg WEYLIE ????? 
336,Tom Keaney,"You can tell Anna Akana was acting by the fact that she didn't swear.
Also, YOU GOT NAT TRAN TO BE ON YOUTUBE AGAIN?!?! :D"
337,pandalover1238,Anybody else GASP hella loud when they saw natalie community channel(.  .)
338,DeusNightFire,Natalie from CommunityChannel omg. I haven't seen her forever
339,Frank Vo,6:26
340,Rithea,"""dare we divide with our devices?"""
341,Rithea,jesus communitychannel
342,PeriwinkleWisteria,"Phil- It wouldve been much easier to just change the password. LOL But, this was hilarious!"
343,The Kangster,"Hold up... Simu, Justin, Arden, Manny, Nat... all these amazing Asian celebrities and not ONE FRIKIN CAMEO FROM RYAN HIGA?! WTF WONGFU?!"
344,Katerina Trung,OMG YES NATALIE
345,Lynn A.,Jacinto 
346,W R,you can just change your password geez
347,billygoatofdoom,I immediately had to like this video the moment Nat showed up! That was amazing!
348,Cherry Chan,"When I saw Justin , the Good Place , Geo, Taika, and Bart"
349,Jeida Win,I missed Nat so much! D:
350,Anita,"This short is everything .  Thanks Wong Fu for making great content,  even during a global pandemic"
351,Paolo Presto,Omg communitychannel
352,theresalynne,Oh my God. It's Nat!!!
353,vian Gala,"OMG TOTAL MESS YET SO FUNNY :DDDD 
Yay for Animal Crossing fellows!!!"
354,Interesting Name,Sometimes I shower naked
355,Kailin Du,omfg.. natalie tran... fuck. i miss her
356,Why This Sucks,this is me
357,Michelle Davis,"Great video!!  Unfortunate that Phil still includes Natalie, after her anti-Asian biases and white-supremacist inclinations were revealed. Hopefully, she has made efforts to change and got much needed rest during her hiatus from Youtube."
358,Joe Beaver,I never knew Phil has Megan Fox's thumbs. 9:28
359,Sabrina Rusli,AHHHHH THIS MADE ME SO HAPPY
360,Comfort Ajibola,"I LOVE THIS VIDEO!!!!!!!!! THANK YOUUUUUUUUUUUUUUU!!!!!! 
OMG NETFLIX NEEDS TO SEE THIS VIDEO ASAP!!!!!"
361,Theblockyhero kuso,Its impressive how u recorded this during the quarantine
362,Srishti C,MANNY JACINTO IS OFFISH WONG FU FAM
363,Srishti C,taylor and phil live together?
364,Christine,Bart got me dyinngggg HAHAHA
365,pakiraju786,Okay this is way better than I expected 
366,IK,Geo sent me!
367,Rachel Chan,OMG nat!!!!!! <3
368,Issam Assafi,imagine if it was possible to change the password. what a hell of a feature would it be
369,Nick V,this was brilliant.... thank you!
370,Eric Connor,great idea
371,Travis Takamori,Omg!!! I think I watched the Geo conversation part 10 times and even the bloopers lol. Bart is such an awesome actor. Like he gives NO F%CKS!!! I mean he seriously wore a diaper!!! And the fact that Geo could give a straight face...well as much as she could! (See bloopers)
372,evilmui57,I LOVED THIS ONE! It was so nice to see how well-connected and united the Asian American community is! All those OG's showing up was amazing!
373,Ryan Chung,"That was a good video, keep up the good work!"
374,Sit Still,awww naaat!
375,I am Thanos,The return of Natalie !
376,Sound Wave,Brilliant
377,abbandlover,"And I would just be the a**hole who would change the password, like I'm paying for it b*tch. xD"
378,Albo,Now I'm gonna go watch Itaewon Class ... on my borrowed logins hehehehe
379,962airplanes,"Taylor's such a good actor, esp during that globe scene."
380,Ivan Chong,"Poor Phil, just change the password yo!"
381,Petrina L,Wahhh loved all the cameos and interactions!!
382,Advent Memory,"*slow clap* Oh Wong Fu...you've done it again.  Props to Phil for enduring all of that! Lesson learned, kids! "
383,Johanna Lim,SIMU IS HERE???
384,BFamilyFun,Love it
385,TheFHorsey,Oh my gooooodnesssss anna akana? Many jacinto! Ahhh         and thanks for the promo/fyi for shows to watch!
386,Sapphirewire,Justin omg
387,Khai Do,Lets switch to Disney + 
388,Ashley Truong,I LOVE THIS!
389,JoliClaire,"I can't believe all my favorite ppl in a video together! THIS IS TOO MUCH TO HANDLE! 
AND EXCUSE ME NO ONE IS GONNA TALK ABOUT ANNA? ANNA AKANA??"
390,Avulet,Best and most fitting sketch for the times at multiple levels!
391,jayveexiong,Omggg!! NAT!!!!!
392,Andrew Cheng,idk. best short yet for a pandemic.
393,hibah 92,Ahaha itaewon Class 
394,Hannah Lee,i literally screamed when i saw nat from communitychannel its been so long since I've seen her ;;
395,Raymarco Centinaje,"too good, too many, too funny!"
396,CHOPii,Of course changing the password...but it'll be too easy lol us asians always find the hard way to do things.
397,Kim Quyen Le,"Cannot believe all the cameos in here. Simu, Manny (!!!!), Weylie, and Nat!!!!! "
398,cgk333,WHAT?! NATALIE TRAN?!  BEST SURPRISE OF THIS WHOLE QUARANTINE LIFE!!! :D :D
399,This IsMyName,Bart in his diapers.... LMAO
400,yeskiii,GOLD
401,Chadd S,How come Ted wasnt part of the cameos?
402,Al Dz,Loved it i need more now i'm addicted
403,Conni Jo,"XD this is ridiculous. Everyone and their Mother is on his account xD 
Edit: deleting redundant information xD"
404,Inbar - Lee Zoref,"Itaewon Class IS very good :D
I am glad you also like it"
405,lolann7,"When Justin was fanboying over Jenn, she must've died from happiness"
406,Vivian Nguyen,OMG ITS NATALIE !!!!!!!!!
407,Chris g171,Love this! one of your funniest videos ive ever  watched!
408,Fiona Chan,AHHHH!! I literally screened when I realized it was Nat!! ahhh!!!
409,Kevin Surjanto,I've concluded this was a really weird flex on how many people Phil knows
410,Danny Danny,6:42 Communuity Channel?!! I miss her. A lot.
411,Jenny Shin,NATALIE TRAN TAKE MY HULU <3 <3 <3
412,Eshita Shah,JUST CHANGE THE PASSWORD!! Problem solved!!!!
413,Bam A,"Phil, you should have just logged in to your account and changed the password."
414,octopu5ie,Ohh my god this is gold! That's an insanely good short.
415,PadeeTinaKong,I LOVED all the cameos but replayed Geo & Barts part several times  TOTALLY KNEW THAT WAS COMING! 
416,Lisa Yang,"LMAOOOO GREAT VIDEO

ALSO, OMG IT'S NAT!!!!"
417,Msclark024,So many of my favs! Thank you. I love this!
418,ThatAsiann,UNBOHLIEVABLE
419,Maanas Gopi,Just change the password.
420,Andrew Cai,"Binged Kims convenience, sooo good "
